,Approximate Entropy: m=3 r=0.7,Conduction Delay: set_thresh=False,Energy Ratio by Chunks: num_segments=10 segment_focus=2,Index Mass Quantile: q=0.6,Label 1,Label 2,Location of Maximum Energy: M=14,Maximum Absolute Value,Normalised Standard Deviation,Number of Peaks: set_thresh=False,Number of Peaks: set_thresh=True,Peaks Between Min and Max,Percentage Fractionation: thresh=0.01,Power Spectral Entropy,Power Spectral Entropy Around Maximum Energy,Ratio Beyond 5xSTD,Sample Entropy Around Max Energy: width=60 r=0.025,Spectral Centroid,Spectral Centroid Around Maximum Energy,Standard Deviation
358,-0.047205587513906355,-9,-0.0024061252819199503,-0.06666666666666667,0,0,-9,11136.0,0.006202824227949794,1,0,0,2.666666666666668,0.3275603215656835,-0.630777864026745,0.006666666666666667,-0.07236547008917396,0.9513977431889789,-0.44189234845148073,0.006269016588136778
359,-0.04100660620292074,-10,-0.002448120383627598,-0.07333333333333333,0,0,-10,11136.0,0.028007082789858223,0,0,0,0.0,0.4109950977203791,-0.7831428878136628,-0.006666666666666667,-0.07635280043139435,3.6054825657523057,-0.31937400541742766,0.028001088324034973
360,-0.04288581830103211,-10,-0.0017372701136577104,-0.07333333333333333,0,0,-10,11136.0,0.012963946743789811,0,0,0,1.333333333333333,0.29130120147837424,-0.8770882739111592,0.013333333333333332,-0.06455623496561845,1.0115540668733747,-0.8245928352976346,0.012966306466668853
361,-0.05404126578875568,-9,-0.003369409674739399,-0.08,0,0,-10,11136.0,0.023204133869100307,0,0,-1,0.666666666666667,0.7378587513785009,-0.48414446523693844,-0.006666666666666667,-0.03431021535116857,3.7855274046177048,0.2138188202745508,0.023205920234812327
362,-0.04748544382055542,-10,-0.0036845086926796822,-0.08666666666666667,0,0,-10,11136.0,0.025850981152119673,0,0,-1,-0.6666666666666661,0.47936156346328485,-0.5459544396437974,-0.006666666666666667,-0.08081079612031844,2.437771217576257,-0.2655428060772893,0.02585247984359665
363,-0.03738317110504241,-9,-0.00390454579619857,-0.08666666666666667,0,0,-9,11136.0,0.051234076324808975,1,0,-1,2.666666666666668,0.5780611287401687,-0.375437550354385,-0.006666666666666667,-0.07181591530334618,3.4448955271655795,0.25886346310023356,0.051235621771778705
364,-0.044370042727234216,-11,-0.004357821853734462,-0.08,0,0,-9,11136.0,0.04511111749521168,0,0,-1,0.0,0.516954597607099,-0.7255441558996689,-0.006666666666666667,-0.09136822881200837,3.576150198389483,-0.7439593100681301,0.04511291754219224
365,-0.046901785995361545,-9,-0.004698160486131734,-0.08666666666666667,0,0,-10,11136.0,-0.0021225957118174987,-1,0,-1,-2.0,0.25693236132561736,-0.699237665032769,0.013333333333333332,-0.10685527839803781,2.7347001283666312,-1.3581658150768283,-0.002121910863979032
366,-0.047445977560642394,-9,-0.004701152535094501,-0.07333333333333333,0,0,-9,11136.0,0.024557078358467654,0,0,-1,1.333333333333333,0.051689085644595956,-0.7567231220982686,-0.006666666666666667,-0.09212082675762476,1.004843035160258,-1.2339415796969568,0.02455845474244367
367,0.01097210302540541,-8,-0.0034664605915561524,-0.06666666666666667,0,0,-8,11136.0,-0.013834125936360214,0,0,-1,2.0,0.4226899297525897,-0.9411537330392301,0.013333333333333332,0.020413009131487386,3.4406743891539566,-1.5248023995973794,-0.013830882766971947
368,-0.010355018289802564,-8,0.004328389260787091,-0.07333333333333333,0,0,-8,11136.0,-0.01718642148761579,2,0,-1,2.666666666666668,0.47978994678014164,-0.773776747809946,0.013333333333333332,0.09825707062581421,4.183437771838504,0.5182584349098138,-0.017184912891773346
